case_id,item,hs_code,regulated,middle,importer,start_month,esr_lag0,esr_lag1,esr_lag2,esr_lag3,esr_min,esr_best_lag,esr_risk,mid_export_sum,imp_export_sum,sr_min,sr_best_lag,sr_risk,same_best_lag,lag_gap
6,스테인레스스틸바(2차재심),7222,인도,미국,대한민국,2013.11,-0.0285714285714285,0.6571428571428573,-0.942857142857143,0.7142857142857143,-0.942857142857143,2,0.942857142857143,17024408.0,5942630.0,-0.8857142857142858,2,0.8857142857142858,True,0
48,도공(coated) 인쇄용지,4810,핀란드,오스트리아,대한민국,2024.03,-0.3714285714285715,-0.8857142857142858,-0.5428571428571429,0.4857142857142857,-0.8857142857142858,1,0.8857142857142858,38887152.0,13941698.0,-0.8857142857142858,1,0.8857142857142858,True,0
39,PET필름,392062,태국,필리핀,대한민국,2021.12,0.3142857142857143,-0.8285714285714287,0.2571428571428572,0.4857142857142857,-0.8285714285714287,1,0.8285714285714287,25594872.0,93560280.0,-0.8857142857142858,3,0.8857142857142858,False,2
11,두꺼운 PET필름,392062,일본,말레이시아,대한민국,2014.12,0.1428571428571428,-0.7142857142857143,-0.0857142857142857,0.1428571428571428,-0.7142857142857143,1,0.7142857142857143,2126816.0,14549100.0,-0.8857142857142858,0,0.8857142857142858,False,1
6,스테인레스스틸바(2차재심),7222,인도,중국,대한민국,2013.11,-0.6571428571428573,0.4857142857142857,0.0857142857142857,0.0285714285714285,-0.6571428571428573,0,0.6571428571428573,362494.0,5942630.0,-0.8857142857142858,3,0.8857142857142858,False,3
32,PET필름(3차재심),392062,중국,미국,대한민국,2019.09,0.942857142857143,-0.6571428571428573,-0.4285714285714286,0.3142857142857143,-0.6571428571428573,1,0.6571428571428573,5990068.0,10408130.0,-0.8857142857142858,1,0.8857142857142858,True,0
26,PET필름,392062,태국,홍콩,대한민국,2018.04,0.5428571428571429,0.942857142857143,0.3478626213914691,-0.5217939320872036,-0.5217939320872036,3,0.5217939320872036,28040.0,26677626.0,-0.8857142857142858,0,0.8857142857142858,False,3
4,알루미늄 보틀캔,761290,일본,중국,대한민국,2013.01,-0.2571428571428572,-0.0285714285714285,-0.4857142857142857,0.3142857142857143,-0.4857142857142857,2,0.4857142857142857,59317.0,274153.0,-0.8857142857142858,2,0.8857142857142858,True,0
20,침엽수 합판,441232,중국,핀란드,대한민국,2016.03,0.0857142857142857,-0.4857142857142857,0.4285714285714286,0.3768511731740915,-0.4857142857142857,1,0.4857142857142857,598393.37,56513583.606,-0.8857142857142858,2,0.8857142857142858,False,1
35,합판,4412,중국,미국,대한민국,2020.11,-0.0857142857142857,0.3714285714285715,-0.4857142857142857,-0.3714285714285715,-0.4857142857142857,2,0.4857142857142857,243557739.0,55373678.0,-0.8857142857142858,3,0.8857142857142858,False,1
