pair_id,사건번호,품목,hs_code,규제국,중간국,수입국,reporter_code,periods,flow_code,isr_min,isr_best_lag,isr_risk,flow_type,partner_code,partner_country
39,15,합판(신규공급자조사),4412,중국,프랑스,대한민국,156,"201402,201403,201404,201405,201406,201407,201408,201409,201410",X,-0.9276336570439176,2,0.9276336570439176,regulated_to_importer,410,대한민국
40,16,합판(신규공급자조사),4412,중국,프랑스,대한민국,156,"201402,201403,201404,201405,201406,201407,201408,201409,201410",X,-0.9276336570439176,2,0.9276336570439176,regulated_to_intermediary,251,프랑스
40,16,합판(신규공급자조사),4412,중국,프랑스,대한민국,156,"201402,201403,201404,201405,201406,201407,201408,201409,201410",X,-0.9276336570439176,2,0.9276336570439176,regulated_to_importer,410,대한민국
41,51,합판,4412,말레이시아,칠레,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.9276336570439176,3,0.9276336570439176,regulated_to_intermediary,152,칠레
41,51,합판,4412,말레이시아,칠레,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.9276336570439176,3,0.9276336570439176,regulated_to_importer,410,대한민국
42,6,스테인레스스틸바(2차재심),7222,스페인,중국,대한민국,724,"201311,201312,201401,201402,201403,201404,201405,201406,201407",X,-0.9276336570439174,1,0.9276336570439174,regulated_to_intermediary,156,중국
42,6,스테인레스스틸바(2차재심),7222,스페인,중국,대한민국,724,"201311,201312,201401,201402,201403,201404,201405,201406,201407",X,-0.9276336570439174,1,0.9276336570439174,regulated_to_importer,410,대한민국
43,4,알루미늄 보틀캔,761290,일본,체코공화국,대한민국,392,"201301,201302,201303,201304,201305,201306,201307,201308,201309",X,-0.9258200997725516,3,0.9258200997725516,regulated_to_intermediary,203,체코공화국
43,4,알루미늄 보틀캔,761290,일본,체코공화국,대한민국,392,"201301,201302,201303,201304,201305,201306,201307,201308,201309",X,-0.9258200997725516,3,0.9258200997725516,regulated_to_importer,410,대한민국
44,26,PET필름,392062,태국,바레인,대한민국,764,"201804,201805,201806,201807,201808,201809,201810,201811,201812",X,-0.8986451052612952,2,0.8986451052612952,regulated_to_intermediary,48,바레인
44,26,PET필름,392062,태국,바레인,대한민국,764,"201804,201805,201806,201807,201808,201809,201810,201811,201812",X,-0.8986451052612952,2,0.8986451052612952,regulated_to_importer,410,대한민국
45,2,크라프트지(1차재심),4804,중국,대만,대한민국,156,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_intermediary,158,대만
45,2,크라프트지(1차재심),4804,중국,대만,대한민국,156,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_importer,410,대한민국
46,2,크라프트지(1차재심),4804,중국,러시아 연방,대한민국,156,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_intermediary,643,러시아 연방
46,2,크라프트지(1차재심),4804,중국,러시아 연방,대한민국,156,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_importer,410,대한민국
47,2,크라프트지(1차재심),4804,캐나다,오스트리아,대한민국,124,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,40,오스트리아
47,2,크라프트지(1차재심),4804,캐나다,오스트리아,대한민국,124,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
48,4,알루미늄 보틀캔,761290,일본,중국,대한민국,392,"201301,201302,201303,201304,201305,201306,201307,201308,201309",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_intermediary,156,중국
48,4,알루미늄 보틀캔,761290,일본,중국,대한민국,392,"201301,201302,201303,201304,201305,201306,201307,201308,201309",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_importer,410,대한민국
49,6,스테인레스스틸바(2차재심),7222,인도,미국,대한민국,699,"201311,201312,201401,201402,201403,201404,201405,201406,201407",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_intermediary,842,미국
49,6,스테인레스스틸바(2차재심),7222,인도,미국,대한민국,699,"201311,201312,201401,201402,201403,201404,201405,201406,201407",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_importer,410,대한민국
50,6,스테인레스스틸바(2차재심),7222,인도,중국,대한민국,699,"201311,201312,201401,201402,201403,201404,201405,201406,201407",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,156,중국
50,6,스테인레스스틸바(2차재심),7222,인도,중국,대한민국,699,"201311,201312,201401,201402,201403,201404,201405,201406,201407",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
51,9,OPP필름,392020,중국,베트남,대한민국,156,"201312,201401,201402,201403,201404,201405,201406,201407,201408",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,704,베트남
51,9,OPP필름,392020,중국,베트남,대한민국,156,"201312,201401,201402,201403,201404,201405,201406,201407,201408",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
52,11,두꺼운 PET필름,392062,일본,말레이시아,대한민국,392,"201412,201501,201502,201503,201504,201505,201506,201507,201508",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_intermediary,458,말레이시아
52,11,두꺼운 PET필름,392062,일본,말레이시아,대한민국,392,"201412,201501,201502,201503,201504,201505,201506,201507,201508",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_importer,410,대한민국
53,20,침엽수 합판,441232,중국,핀란드,대한민국,156,"201603,201604,201605,201606,201607,201608,201609,201610,201611",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_intermediary,246,핀란드
53,20,침엽수 합판,441232,중국,핀란드,대한민국,156,"201603,201604,201605,201606,201607,201608,201609,201610,201611",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_importer,410,대한민국
54,24,옵셋인쇄판,370130,중국,일본,대한민국,156,"201709,201710,201711,201712,201801,201802,201803,201804,201805",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,392,일본
54,24,옵셋인쇄판,370130,중국,일본,대한민국,156,"201709,201710,201711,201712,201801,201802,201803,201804,201805",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
55,26,PET필름,392062,태국,홍콩,대한민국,764,"201804,201805,201806,201807,201808,201809,201810,201811,201812",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_intermediary,344,홍콩
55,26,PET필름,392062,태국,홍콩,대한민국,764,"201804,201805,201806,201807,201808,201809,201810,201811,201812",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_importer,410,대한민국
56,31,OPP필름(1차재심),392020,중국,대만,대한민국,156,"201908,201909,201910,201911,201912,202001,202002,202003,202004",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_intermediary,158,대만
56,31,OPP필름(1차재심),392020,중국,대만,대한민국,156,"201908,201909,201910,201911,201912,202001,202002,202003,202004",X,-0.8857142857142858,2,0.8857142857142858,regulated_to_importer,410,대한민국
57,32,PET필름(3차재심),392062,중국,미국,대한민국,156,"201909,201910,201911,201912,202001,202002,202003,202004,202005",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_intermediary,842,미국
57,32,PET필름(3차재심),392062,중국,미국,대한민국,156,"201909,201910,201911,201912,202001,202002,202003,202004,202005",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_importer,410,대한민국
