pair_id,사건번호,품목,hs_code,년월,규제국,중간국,수입국,flow_type,수출량,수출총달러,isr_min,isr_best_lag,isr_risk
8,2,크라프트지(1차재심),4804,2012.09,중국,독일,대한민국,regulated_to_intermediary,486.0,1516.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.1,중국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.11,중국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.12,중국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.04,중국,독일,대한민국,regulated_to_importer,565530.0,844575.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.05,중국,독일,대한민국,regulated_to_importer,763747.0,616937.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.06,중국,독일,대한민국,regulated_to_importer,276187.0,317807.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.07,중국,독일,대한민국,regulated_to_importer,1463476.0,1199109.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.08,중국,독일,대한민국,regulated_to_importer,509546.0,441572.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.09,중국,독일,대한민국,regulated_to_importer,476921.0,408944.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.1,중국,독일,대한민국,regulated_to_importer,0.0,0.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.11,중국,독일,대한민국,regulated_to_importer,0.0,0.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.12,중국,독일,대한민국,regulated_to_importer,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.01,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.02,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.03,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.04,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.05,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
