request_key,status,rows,error
"113|regulated_to_importer|392|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"114|regulated_to_intermediary|842|554|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"114|regulated_to_importer|842|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"115|regulated_to_intermediary|842|40|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"115|regulated_to_importer|842|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"116|regulated_to_intermediary|842|616|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"116|regulated_to_importer|842|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"117|regulated_to_intermediary|156|70|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"117|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"118|regulated_to_intermediary|156|764|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"118|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"119|regulated_to_intermediary|156|251|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"119|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"120|regulated_to_intermediary|124|643|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"120|regulated_to_importer|124|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"121|regulated_to_intermediary|124|246|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,1,
"121|regulated_to_importer|124|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"122|regulated_to_intermediary|699|40|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,7,
"122|regulated_to_importer|699|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"123|regulated_to_intermediary|392|380|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,4,
