사건번호,품목,hs_code,규제국,후보국,분석시작월,sr_min,sr_best_lag,sr_risk
31,OPP필름(1차재심),392020,인도네시아,오스트리아,2019.08,-0.7714285714285715,2,0.7714285714285715
31,OPP필름(1차재심),392020,중국,스페인,2019.08,-0.7714285714285715,3,0.7714285714285715
31,OPP필름(1차재심),392020,중국,오스트리아,2019.08,-0.7714285714285715,2,0.7714285714285715
33,스테인리스 스틸바,7222,일본,오스트리아,2020.05,-0.7714285714285715,2,0.7714285714285715
35,합판,4412,중국,독일,2020.11,-0.7714285714285715,1,0.7714285714285715
35,합판,4412,중국,말레이시아,2020.11,-0.7714285714285715,1,0.7714285714285715
35,합판,4412,중국,이탈리아,2020.11,-0.7714285714285715,2,0.7714285714285715
37,스테인리스스틸바,7222,스페인,네덜란드,2021.01,-0.7714285714285715,3,0.7714285714285715
37,스테인리스스틸바,7222,인도,오스트리아,2021.01,-0.7714285714285715,3,0.7714285714285715
37,스테인리스스틸바,7222,인도,프랑스,2021.01,-0.7714285714285715,2,0.7714285714285715
37,스테인리스스틸바,7222,일본,스웨덴,2021.01,-0.7714285714285715,3,0.7714285714285715
38,인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판),370130,중국,벨기에,2021.05,-0.7714285714285715,1,0.7714285714285715
39,PET필름,392062,대만,아랍에미리트 연합,2021.12,-0.7714285714285715,3,0.7714285714285715
39,PET필름,392062,대만,인도,2021.12,-0.7714285714285715,0,0.7714285714285715
39,PET필름,392062,대만,일본,2021.12,-0.7714285714285715,3,0.7714285714285715
39,PET필름,392062,태국,아랍에미리트 연합,2021.12,-0.7714285714285715,3,0.7714285714285715
39,PET필름,392062,태국,인도,2021.12,-0.7714285714285715,0,0.7714285714285715
39,PET필름,392062,태국,일본,2021.12,-0.7714285714285715,3,0.7714285714285715
41,"인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판, 더블레이어 제품)",370130,중국,말레이시아,2022.11,-0.7714285714285715,3,0.7714285714285715
42,부틸글리콜에테르,290943,미국,일본,2022.07,-0.7714285714285715,1,0.7714285714285715
44,이음매없는동관,7411,베트남,독일,2023.03,-0.7714285714285715,3,0.7714285714285715
44,이음매없는동관,7411,베트남,미국,2023.03,-0.7714285714285715,1,0.7714285714285715
48,도공(coated) 인쇄용지,4810,중국,이탈리아,2024.03,-0.7714285714285715,2,0.7714285714285715
48,도공(coated) 인쇄용지,4810,핀란드,필리핀,2024.03,-0.7714285714285715,1,0.7714285714285715
51,합판,4412,말레이시아,베트남,2024.07,-0.7714285714285715,2,0.7714285714285715
51,합판,4412,말레이시아,에스토니아,2024.07,-0.7714285714285715,3,0.7714285714285715
52,합판,4412,베트남,중국,2024.07,-0.7714285714285715,2,0.7714285714285715
54,OPP필름,392020,중국,네덜란드,2025.04,-0.7714285714285715,2,0.7714285714285715
54,OPP필름,392020,태국,미국,2025.04,-0.7714285714285715,3,0.7714285714285715
54,OPP필름,392020,태국,베트남,2025.04,-0.7714285714285715,3,0.7714285714285715
54,OPP필름,392020,태국,인도네시아,2025.04,-0.7714285714285715,1,0.7714285714285715
2,크라프트지(1차재심),4804,중국,남아프리카공화국,2012.04,-0.7589709258986453,3,0.7589709258986453
