사건번호,국가,품목,hs_code,년월,수입량,수입총달러,단가,관세부과범위,부과시작일,부과종료일,규제국목록,규제국여부
0,일본,초산에틸(1차재심),291531,2012.10,84.0,598.0,7.119047619047619,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.11,255.0,2385.0,9.352941176470589,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.12,23.0,893.0,38.82608695652174,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2013.01,17.0,224.0,13.176470588235293,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2013.02,126.0,1011.0,8.023809523809524,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.03,6906993.0,6901575.0,0.9992155776037416,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.04,7006297.0,6969460.0,0.9947423011042781,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.05,6931032.0,6978104.0,1.0067914850198354,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.06,4551743.0,4546144.0,0.9987699217640363,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.07,7639061.0,7260491.0,0.9504428620219161,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.08,6125014.0,5634594.0,0.9199316115848878,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.09,7237170.0,6822239.0,0.9426666777207112,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.10,8192437.0,7720629.0,0.942409322158962,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.11,3123802.0,2976366.0,0.9528023863228208,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2012.12,5836800.0,5545393.0,0.9500741844846491,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2013.01,8635064.0,8047363.0,0.9319401685963185,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,중국,초산에틸(1차재심),291531,2013.02,5061887.0,4678450.0,0.924250185750887,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,프랑스,초산에틸(1차재심),291531,2012.03,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.04,102.0,1305.0,12.794117647058824,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.05,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.06,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.07,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
